county_name, pop_total , pop_male , pop_female , hh_total , hh_conventional , hh_group_quarters , land_area_sqkm  , persons_per_sqkm  ,level
Kandara,"175,098","86,698","88,393","50,704","50,657",47,235,746,Sub-county
Aberdare Forest,43,31,12,33,10,23,295,0,Sub-county
Kiambu,"2,417,735","1,187,146","1,230,454","795,241","792,333","2,908","2,539",952,County
Gatundu North,"109,870","54,189","55,678","31,472","31,452",20,286,384,Sub-county
Gatundu South,"122,103","60,384","61,714","35,609","35,577",32,194,631,Sub-county
Githunguri,"165,232","82,037","83,187","49,426","49,414",12,174,948,Sub-county
Juja,"300,948","148,446","152,480","104,301","104,042",259,342,880,Sub-county
Kabete,"199,653","97,794","101,845","66,710","66,681",29,61,"3,289",Sub-county
Kiambaa,"236,400","115,690","120,695","80,332","80,316",16,91,"2,595",Sub-county
Kiambu,"145,903","69,661","76,225","47,275","46,816",459,98,"1,483",Sub-county
Kikuyu,"187,122","90,919","96,198","60,686","60,619",67,173,"1,082",Sub-county
Lari,"135,303","67,061","68,238","38,592","38,585",7,432,313,Sub-county
Limuru,"159,314","79,632","79,682","49,174","49,096",78,285,559,Sub-county
Ruiru,"371,111","180,947","190,144","129,470","127,910","1,560",201,"1,846",Sub-county
Thika East,"38,956","19,688","19,264","12,736","12,736", - ,110,354,Sub-county
Thika West,"245,820","120,698","125,104","89,458","89,089",369,91,"2,689",Sub-county
Turkana,"926,976","478,087","448,868","164,519","162,627","1,892","68,233",14,County
Kibish,"36,769","18,651","18,117","5,805","5,699",106,"10,466",4,Sub-county
Loima,"107,795","54,341","53,453","19,438","19,139",299,"9,120",12,Sub-county
Turkana Central,"185,305","93,145","92,160","38,173","37,917",256,"6,415",29,Sub-county
Turkana East,"138,526","76,871","61,643","17,981","17,887",94,"11,396",12,Sub-county
Turkana North,"65,218","32,810","32,408","13,119","12,964",155,"7,012",9,Sub-county
Turkana South,"153,736","78,402","75,329","24,552","24,281",271,"7,045",22,Sub-county
Turkana West,"239,627","123,867","115,758","45,451","44,740",711,"16,779",14,Sub-county
West Pokot,"621,241","307,013","314,213","116,182","115,761",421,"9,123",68,County
Kipkomo,"102,633","50,923","51,703","18,370","18,367",3,766,134,Sub-county
Pokot Central,"119,016","59,682","59,331","21,850","21,784",66,"2,055",58,Sub-county
Pokot North,"134,485","64,780","69,702","25,804","25,736",68,"3,911",34,Sub-county
Pokot South,"80,661","39,808","40,851","13,817","13,752",65,537,150,Sub-county
West Pokot,"184,446","91,820","92,626","36,341","36,122",219,"1,855",99,Sub-county
Samburu,"310,327","156,774","153,546","65,910","63,951","1,959","21,090",15,County
Samburu Central,"164,942","83,633","81,307","34,202","33,720",482,"3,699",45,Sub-county
Samburu East,"77,994","38,211","39,782","18,424","17,307","1,117","10,016",8,Sub-county
Samburu North,"67,391","34,930","32,457","13,284","12,924",360,"7,375",9,Sub-county
Trans Nzoia,"990,341","489,107","501,206","223,808","222,989",819,"2,495",397,County
Trans Nzoia West,"202,377","101,198","101,174","47,603","47,576",27,355,569,Sub-county
Trans Nzoia East,"229,538","113,498","116,029","50,017","49,955",62,629,365,Sub-county
Kwanza,"203,821","100,234","103,584","45,752","45,599",153,465,438,Sub-county
Endebess,"111,782","56,090","55,689","23,705","23,246",459,678,165,Sub-county
Kiminini,"242,823","118,087","124,730","56,731","56,613",118,367,662,Sub-county
Uasin Gishu,"1,163,186","580,269","582,889","304,943","301,110","3,833","3,399",342,County
Ainabkoi,"138,184","68,348","69,835","34,892","34,862",30,483,286,Sub-county
Kapseret,"198,499","99,650","98,845","59,746","59,678",68,299,663,Sub-county
Kesses,"148,798","74,301","74,493","34,653","34,623",30,748,199,Sub-county
Moiben,"181,338","90,309","91,027","46,729","46,602",127,770,236,Sub-county
Soy,"229,094","114,082","115,007","53,784","53,758",26,668,343,Sub-county
Turbo,"267,273","133,579","133,682","75,139","71,587","3,552",431,620,Sub-county
Elgeyo Marakwet,"454,480","227,317","227,151","99,861","99,119",742,"3,032",150,County
Keiyo North,"99,176","49,601","49,574","21,947","21,749",198,543,183,Sub-county
Keiyo South,"120,750","60,919","59,827","27,029","26,740",289,898,134,Sub-county
Marakwet East,"97,041","47,849","49,190","21,362","21,123",239,853,114,Sub-county
Marakwet West,"137,513","68,948","68,560","29,523","29,507",16,738,186,Sub-county
Nandi,"885,711","441,259","444,430","199,426","199,040",386,"2,849",311,County
Chesumei,"164,133","80,949","83,180","39,051","39,011",40,475,346,Sub-county
Nandi Central,"147,553","73,291","74,255","34,400","34,247",153,362,407,Sub-county
Nandi East,"119,173","59,899","59,271","29,253","29,249",4,392,304,Sub-county
Nandi North,"166,171","82,512","83,656","35,297","35,257",40,606,274,Sub-county
Nandi South,"172,750","85,718","87,029","37,094","37,038",56,457,378,Sub-county
Tinderet,"115,931","58,890","57,039","24,331","24,238",93,557,208,Sub-county
Baringo,"666,763","336,322","330,428","142,518","141,877",641,"10,985",61,County
Baringo Central,"96,951","48,120","48,829","23,555","23,523",32,786,123,Sub-county
Baringo North,"104,871","52,369","52,500","23,500","23,345",155,"1,629",64,Sub-county
East Pokot,"79,923","40,462","39,459","14,498","14,392",106,"2,500",32,Sub-county
Koibatek,"129,535","65,295","64,238","30,774","30,752",22,939,138,Sub-county
Marigat,"90,955","45,706","45,246","19,854","19,658",196,"1,405",65,Sub-county
Mogotio,"91,104","46,014","45,088","18,184","18,169",15,"1,375",66,Sub-county
Tiaty East,"73,424","38,356","35,068","12,153","12,038",115,"2,163",34,Sub-county
Lake Baringo, - , - , - , - , - , - ,186, - ,Sub-county
Laikipia,"518,560","259,440","259,102","149,271","145,776","3,495","9,508",55,County
Laikipia Central,"95,594","47,888","47,705","30,372","29,877",495,"1,233",78,Sub-county
Laikipia East,"102,815","52,078","50,732","33,505","31,311","2,194","1,539",67,Sub-county
Laikipia North,"36,184","18,067","18,116","7,752","7,694",58,"2,550",14,Sub-county
